backoff_mode,WHP_min,WHP_max,FLP_min,FLP_max,BHP_min,BHP_max,binding_constraint,max_safe_rate,achieved_rate,pct_of_max_safe,violating_intervals,max_abs_move_pct
fixed 5 psi (submitted),228.38161917449855,313.53142393398275,160.07270946398435,209.02496156348383,2907.9089293916763,3278.110490939368,WHP_min,147.2095777967572,142.09012387389689,96.52233638634002,0,5.0000000000000036
fixed 5 psi (submitted),198.973312060588,311.3011815540205,144.7679682352814,207.08700536716296,2914.4932315164942,3275.978579786806,BHP_min,151.3308481129259,149.9851641848961,99.11076694222605,0,5.0
fixed 5 psi (submitted),231.08915487777912,326.6713888243023,128.0207614224439,200.14085554431773,2808.550594563907,3310.1117151642347,WHP_min,144.7262667336088,139.82560069837638,96.61383787073505,0,5.0000000000000036
fixed 5 psi (submitted),238.22696440491043,302.1422579116045,156.25221060913205,207.13137430381593,2775.9747049546268,3304.912046300599,WHP_min,137.88623242959164,132.5709533542067,96.14517056436429,0,5.0
fixed 5 psi (submitted),202.85408442485465,307.3071750090644,136.77455030095518,206.29878246803864,2942.4522789829507,3318.8290853472377,BHP_min,144.8097560509357,143.68567080315404,99.22375033393035,0,5.0
fixed 5 psi (submitted),237.00810072673903,300.91596214750666,127.64441034292878,200.41723859295905,2883.1889276524707,3283.034903667069,WHP_min,139.10629238176958,133.93767663673623,96.28441269152056,0,5.0
fixed 5 psi (submitted),214.5852108775829,323.86098406816274,138.27255674634014,203.6851623906363,2895.081717428115,3321.3846689949355,BHP_min,155.79080480738895,154.31062489353067,99.04989263282368,0,5.0
fixed 5 psi (submitted),188.95260876295805,302.62335352409065,154.4867000455768,212.90618502318387,2928.0724156567026,3326.5133511227054,BHP_min,148.1905882310845,146.89157117339042,99.1234146019662,0,5.0
fixed 5 psi (submitted),189.20727398187884,306.76972236835434,143.1409555608374,212.7778606040842,2880.0394837670538,3291.1310435429987,BHP_min,159.28100234620945,157.71247450854705,99.01524487254727,0,5.0
fixed 5 psi (submitted),225.35631849343076,313.0632052596183,164.3105578077666,206.43090706227207,2917.4392697807093,3252.181244704153,FLP_min,143.6364132298381,134.59122130224506,93.70271665505913,0,5.0
fixed 5 psi (submitted),223.09327590559008,311.95435328354733,144.96037231959338,202.98238700548367,2935.9023027453977,3279.946752007178,BHP_min,146.38670822875943,144.98778255689848,99.04436291464738,0,5.0000000000000036
fixed 5 psi (submitted),213.6952022445086,317.9203687073041,159.33773709198047,206.99999809528416,2915.97825623219,3328.5844846340356,BHP_min,150.93232469940605,143.4189724075549,95.02203897885055,0,5.0
fixed 5 psi (submitted),237.38007956535714,321.49823501196806,161.4842104393606,214.1354079846298,2910.4492312636116,3268.355131989326,WHP_min,138.75870554209325,133.66204298626826,96.32696014573378,0,5.0000000000000036
fixed 5 psi (submitted),187.46571589406096,318.4872525089115,135.84826731047863,205.77728486339407,2784.7656353247253,3364.325749459058,WHP_min,179.13383061608252,175.41739757628613,97.92533156522433,0,5.000000000000007
fixed 5 psi (submitted),231.26986221873284,303.98413881192863,145.67339747056138,205.9251939499638,2908.00306359616,3319.7488450263218,WHP_min,144.55914017452997,139.6488242234198,96.60324767760669,0,5.0
fixed 5 psi (submitted),223.84854294889038,316.9831162973822,164.12992456078192,206.2944961392192,2947.5341739320147,3312.31578749397,BHP_min,143.6364132298381,135.22634837497807,94.14489357834162,0,5.0
fixed 5 psi (submitted),190.96011908344852,323.4624318131223,135.86876009412634,208.48632096252584,2879.2030159782653,3279.9515887229513,BHP_min,159.43059268590295,157.99989078620519,99.10261771245095,0,5.0000000000000036
fixed 5 psi (submitted),182.0644161406815,329.6110003067987,157.69560572311624,201.85557882439215,2919.5938860246315,3288.7195302627415,BHP_min,150.1316978326221,146.12339567517083,97.33014265786828,0,5.0
fixed 5 psi (submitted),194.83708442329956,323.1784905114949,155.29448049428487,212.6893601589806,2777.330401577332,3362.1379262837627,FLP_min,157.32004668241748,149.86427412949772,95.26076128875631,0,5.0
fixed 5 psi (submitted),208.18943245639235,309.77650224382154,154.3721151019563,212.677146214373,2814.4921515126343,3273.221733499069,FLP_min,158.6056410155338,151.36713429828396,95.43616061137391,0,5.0000000000000036
fixed 5 psi (submitted),239.50108310003327,327.5756996771369,136.59364599264148,212.216214619995,2767.938644443277,3386.881886118048,WHP_min,136.5681248751931,131.16234085442346,96.04169419056615,0,5.0
fixed 5 psi (submitted),226.47913411590022,305.9058934428158,136.82748987990797,208.933322822615,2821.1515328462788,3360.435072392118,WHP_min,148.92176113698508,144.25359213869027,96.86535469185003,0,5.0
fixed 5 psi (submitted),215.54177216063962,306.2108595770397,149.40438039535903,200.21088627723367,2772.349563060609,3274.1811725659977,WHP_min,158.22887512598058,153.8221836709439,97.21498907735513,0,5.0
fixed 5 psi (submitted),201.22066272116484,300.35729215023053,162.19630094654713,203.59263433208392,2804.1277100890115,3306.346348855788,FLP_min,147.04539452486102,138.57810245391298,94.24171556116538,0,5.0
fixed 5 psi (submitted),236.4443229437065,310.5545798744411,142.2453142481839,204.47760908753673,2945.2490070103586,3304.7285837300874,WHP_min,139.62617113588234,134.48612703798943,96.31871012713606,0,5.0
fixed 5 psi (submitted),185.01224525937792,319.7394718271723,153.66419682861905,205.5836153629253,2792.2770310899773,3311.387717677537,FLP_min,159.58000543959602,152.57393527353082,95.60968170995763,0,5.0
fixed 5 psi (submitted),206.34409263074184,329.85899410163586,159.33741302216748,209.31363347629926,2788.7835895736507,3353.187178208355,FLP_min,151.41041000166268,143.50585749214238,94.77938636489162,0,5.0
fixed 5 psi (submitted),225.5399401369238,302.26166216083044,140.17946066808628,204.90271696318715,2864.0862645222933,3347.9579827552434,WHP_min,149.72958814190554,145.08688052591043,96.89927176477973,0,5.0
fixed 5 psi (submitted),190.8832673033017,314.0897830834114,164.68671546143577,200.2377895884106,2824.1987223658075,3300.1468695784456,FLP_min,142.9615779296903,134.38650318050674,94.001832608898,0,5.0
