violating_intervals,worst_excursion_psi,rate_last30,offset,max_move,trial,scenario,gain_Q,gain_BHP,tau_Q,tau_BHP,worst_gain_err,worst_tau_err
0,0.0,149.85332592331432,-0.14779311537330386,5.0,20,B,0.9284623049865337,1.2858773931616267,1.2756911881018285,1.3631202041893178,0.28587739316162675,0.3631202041893178
0,0.0,164.06431965912782,-0.2692654517083781,5.0,20,C,0.9284623049865337,1.2858773931616267,1.2756911881018285,1.3631202041893178,0.28587739316162675,0.3631202041893178
0,0.0,149.97564502700354,-0.03252674444922832,5.0,21,B,1.2287843036426138,1.2969504088965507,0.8159435453677002,1.312335398111254,0.29695040889655067,0.3800981213040697
0,0.0,164.26158874563072,-0.17671356455880982,5.0,21,C,1.2287843036426138,1.2969504088965507,0.8159435453677002,1.312335398111254,0.29695040889655067,0.3800981213040697
0,0.0,149.93585319363638,-0.05879812670949036,5.0,22,B,1.1007336433428108,1.1489491019810525,1.3607014095476777,1.170061849314936,0.27504817906677115,0.3607014095476777
0,0.0,164.7726291925742,-0.11414835607814666,5.0,22,C,1.1007336433428108,1.1489491019810525,1.3607014095476777,1.170061849314936,0.27504817906677115,0.3607014095476777
0,0.0,149.94044329899958,-0.05418257848464236,5.0,23,B,1.1287711219928518,1.2461534597296329,1.0614007675502228,1.0260222486178752,0.24615345972963287,0.3058702271092064
0,0.0,164.87667356408556,-0.25087429384183224,5.0,23,C,1.1287711219928518,1.2461534597296329,1.0614007675502228,1.0260222486178752,0.24615345972963287,0.3058702271092064
0,0.0,150.09744413566756,0.09547898336589355,5.0,24,B,1.0140608364369519,1.0428373602734646,0.5064088826643102,1.0898700283209504,0.28916561587602363,0.49359111733568983
0,0.0,164.8927734661802,-0.039675859288593074,5.0,24,C,1.0140608364369519,1.0428373602734646,0.5064088826643102,1.0898700283209504,0.28916561587602363,0.49359111733568983
0,0.0,150.07165969953738,0.06269557223265565,5.0,25,B,0.891808981769599,0.817064439074083,1.0776878925178592,0.5722652655298768,0.1874953705633291,0.4624230931243809
